Title:               Portugal / U.S. Foreign Exchange Rate (DISCONTINUED)
1995-08-01  149.88
1995-09-01  152.11
1995-10-01  148.94
1995-11-01  148.68
1995-12-01  151.03
1996-01-01  151.90
1996-02-01  152.49
1996-03-01  152.93
1996-04-01  154.51
1996-05-01  157.54
1996-06-01  157.40
1996-07-01  154.56
1996-08-01  152.27
1996-09-01  153.99
1996-10-01  154.28
1996-11-01  152.83
1996-12-01  156.54
1997-01-01  160.53
1997-02-01  168.24
1997-03-01  170.35
1997-04-01  171.77
1997-05-01  171.72
1997-06-01  174.56
1997-07-01  181.20
1997-08-01  186.50
1997-09-01  181.49
1997-10-01  179.07
1997-11-01  176.84
1997-12-01  181.91
1998-01-01  185.80
1998-02-01  185.54
1998-03-01  187.03
1998-04-01  185.81
1998-05-01  181.87
1998-06-01  183.58
1998-07-01  183.93
1998-08-01  182.99
1998-09-01  174.19
1998-10-01  168.01
1998-11-01  172.52
1998-12-01  171.19
1999-01-01  172.96
1999-02-01  178.95
1999-03-01  184.16
1999-04-01  187.35
1999-05-01  188.60
1999-06-01  193.20
1999-07-01  193.33
1999-08-01  189.04
1999-09-01  190.99
1999-10-01  187.26
1999-11-01  194.12
1999-12-01  198.30
2000-01-01  197.89
2000-02-01  203.87
2000-03-01  207.90
2000-04-01  212.17
2000-05-01  221.31
2000-06-01  210.92
2000-07-01  213.60
2000-08-01  221.65
2000-09-01  230.57
2000-10-01  235.17
2000-11-01  234.43
2000-12-01  223.18
2001-01-01  213.82
2001-02-01  217.80
2001-03-01  220.72
2001-04-01  224.63
2001-05-01  229.04
2001-06-01  235.03
2001-07-01  232.71
2001-08-01  222.41
2001-09-01  219.97
2001-10-01  221.53
2001-11-01  225.69
2001-12-01  224.96
