Title:               U.S. / Ireland Foreign Exchange Rate (DISCONTINUED)
1997-05-01  1.5111
1997-06-01  1.5060
1997-07-01  1.4945
1997-08-01  1.4534
1997-09-01  1.4806
1997-10-01  1.4692
1997-11-01  1.5030
1997-12-01  1.4533
1998-01-01  1.3819
1998-02-01  1.3771
1998-03-01  1.3672
1998-04-01  1.3894
1998-05-01  1.4174
1998-06-01  1.4051
1998-07-01  1.3988
1998-08-01  1.4037
1998-09-01  1.4724
1998-10-01  1.5221
1998-11-01  1.4777
1998-12-01  1.4876
1999-01-01  1.4718
1999-02-01  1.4225
1999-03-01  1.3822
1999-04-01  1.3587
1999-05-01  1.3497
1999-06-01  1.3176
1999-07-01  1.3167
1999-08-01  1.3466
1999-09-01  1.3328
1999-10-01  1.3594
1999-11-01  1.3114
1999-12-01  1.2837
2000-01-01  1.2864
2000-02-01  1.2487
2000-03-01  1.2244
2000-04-01  1.1998
2000-05-01  1.1503
2000-06-01  1.2069
2000-07-01  1.1918
2000-08-01  1.1485
2000-09-01  1.1040
2000-10-01  1.0825
2000-11-01  1.0859
2000-12-01  1.1406
2001-01-01  1.1905
2001-02-01  1.1688
2001-03-01  1.1533
2001-04-01  1.1332
2001-05-01  1.1114
2001-06-01  1.0831
2001-07-01  1.0939
2001-08-01  1.1445
2001-09-01  1.1572
2001-10-01  1.1491
2001-11-01  1.1279
2001-12-01  1.1316
