Title:               Netherlands / U.S. Foreign Exchange Rate (DISCONTINUED)
1987-08-01  2.0903
1987-09-01  2.0413
1987-10-01  2.0267
1987-11-01  1.8931
1987-12-01  1.8382
1988-01-01  1.8584
1988-02-01  1.9051
1988-03-01  1.8837
1988-04-01  1.8749
1988-05-01  1.8983
1988-06-01  1.9767
1988-07-01  2.0827
1988-08-01  2.1319
1988-09-01  2.1063
1988-10-01  2.0486
1988-11-01  1.9729
1988-12-01  1.9824
1989-01-01  2.0724
1989-02-01  2.0895
1989-03-01  2.1085
1989-04-01  2.1098
1989-05-01  2.1938
1989-06-01  2.2292
1989-07-01  2.1318
1989-08-01  2.1726
1989-09-01  2.1992
1989-10-01  2.1072
1989-11-01  2.0652
1989-12-01  1.9619
1990-01-01  1.9073
1990-02-01  1.8892
1990-03-01  1.9204
1990-04-01  1.8984
1990-05-01  1.8704
1990-06-01  1.8946
1990-07-01  1.8452
1990-08-01  1.7692
1990-09-01  1.7699
1990-10-01  1.7180
1990-11-01  1.6761
1990-12-01  1.6904
1991-01-01  1.7015
1991-02-01  1.6689
1991-03-01  1.8174
1991-04-01  1.9186
1991-05-01  1.9379
1991-06-01  2.0085
1991-07-01  2.0114
1991-08-01  1.9650
1991-09-01  1.9084
1991-10-01  1.9039
1991-11-01  1.8269
1991-12-01  1.7618
1992-01-01  1.7780
1992-02-01  1.8218
1992-03-01  1.8706
1992-04-01  1.8568
1992-05-01  1.8268
1992-06-01  1.7719
1992-07-01  1.6819
1992-08-01  1.6322
1992-09-01  1.6348
1992-10-01  1.6717
1992-11-01  1.7862
1992-12-01  1.7788
1993-01-01  1.8155
1993-02-01  1.8473
1993-03-01  1.8507
1993-04-01  1.7942
1993-05-01  1.8026
1993-06-01  1.8559
1993-07-01  1.9299
1993-08-01  1.9062
1993-09-01  1.8214
1993-10-01  1.8438
1993-11-01  1.9084
1993-12-01  1.9162
1994-01-01  1.9516
1994-02-01  1.9464
1994-03-01  1.9006
1994-04-01  1.9074
1994-05-01  1.8597
1994-06-01  1.8242
1994-07-01  1.7585
1994-08-01  1.7570
1994-09-01  1.7372
1994-10-01  1.7028
1994-11-01  1.7261
1994-12-01  1.7601
1995-01-01  1.7159
1995-02-01  1.6844
1995-03-01  1.5774
1995-04-01  1.5474
1995-05-01  1.5779
1995-06-01  1.5686
1995-07-01  1.5557
1995-08-01  1.6195
1995-09-01  1.6354
1995-10-01  1.5846
1995-11-01  1.5877
1995-12-01  1.6127
1996-01-01  1.6388
1996-02-01  1.6424
1996-03-01  1.6540
1996-04-01  1.6819
1996-05-01  1.7135
1996-06-01  1.7120
1996-07-01  1.6862
1996-08-01  1.6633
1996-09-01  1.6905
1996-10-01  1.7141
1996-11-01  1.6958
1996-12-01  1.7420
1997-01-01  1.8023
1997-02-01  1.8812
1997-03-01  1.9071
1997-04-01  1.9256
1997-05-01  1.9173
1997-06-01  1.9438
1997-07-01  2.0201
1997-08-01  2.0709
1997-09-01  2.0116
1997-10-01  1.9800
1997-11-01  1.9524
1997-12-01  2.0051
1998-01-01  2.0472
1998-02-01  2.0432
1998-03-01  2.0598
1998-04-01  2.0422
1998-05-01  2.0005
1998-06-01  2.0208
1998-07-01  2.0267
1998-08-01  2.0148
1998-09-01  1.9169
1998-10-01  1.8479
1998-11-01  1.8969
1998-12-01  1.8816
1999-01-01  1.9012
1999-02-01  1.9671
1999-03-01  2.0244
1999-04-01  2.0593
1999-05-01  2.0731
1999-06-01  2.1236
1999-07-01  2.1251
1999-08-01  2.0780
1999-09-01  2.0994
1999-10-01  2.0584
1999-11-01  2.1337
1999-12-01  2.1797
2000-01-01  2.1752
2000-02-01  2.2409
2000-03-01  2.2853
2000-04-01  2.3322
2000-05-01  2.4326
2000-06-01  2.3185
2000-07-01  2.3479
2000-08-01  2.4364
2000-09-01  2.5345
2000-10-01  2.5850
2000-11-01  2.5768
2000-12-01  2.4532
2001-01-01  2.3504
2001-02-01  2.3940
2001-03-01  2.4262
2001-04-01  2.4691
2001-05-01  2.5177
2001-06-01  2.5835
2001-07-01  2.5580
2001-08-01  2.4448
2001-09-01  2.4179
2001-10-01  2.4350
2001-11-01  2.4808
2001-12-01  2.4727
